pid,uid,title,regex,county,latlngs
興隆D2區社會住宅,3.79 3.79.56,興隆,D,taipei,24.988132 121.56273
洲美社會住宅,3.79 3.79.56,洲美,,taipei,25.100709 121.504919;25.103662 121.51745
新興社會住宅(新興市場整建),3.79 3.79.56,新興,,taipei,25.061308 121.52653
健康社會住宅,3.79 3.79.56,健康,,taipei,25.054477 121.564774;25.054545 121.566405
萬華青年社會住宅一期,3.79 3.79.56,萬華,一,taipei,25.019954 121.503592
捷運新莊線大橋頭站分回,3.79 3.79.56,大橋頭,,taipei,25.063554 121.511713
東明社會住宅,3.79 3.79.56,東明,,taipei,25.054664 121.604502;25.054424 121.603793
華榮市場都更案,3.79 3.79.56,華榮,,taipei,25.096459 121.522472
瑞光社會住宅,3.79 3.79.56,瑞光,,taipei,25.073236 121.579128
舊宗社會住宅,3.79 3.79.56,舊宗,,taipei,25.062269 121.578297
行善社會住宅,3.79 3.79.56,行善,,taipei,25.060806 121.581566
木柵社會住宅,3.79 3.79.56,木柵,,taipei,24.989143 121.566464
樟新水岸社會住宅,3.79 3.79.56,漳新,,taipei,24.977446 121.556408
和興水岸社會住宅 (華興段基地),3.79 3.79.56,和興,,taipei,24.984668 121.54904
興隆A區社會住宅,3.79 3.79.56,興隆,A,taipei,24.987959 121.559762
興隆E區社會住宅,3.79 3.79.56,興隆,E,taipei,24.987999 121.558756
興隆I區社會住宅,3.79 3.79.56,興隆,I,taipei,24.986942 121.561681
福國社會住宅,3.79 3.79.56,福國,,taipei,25.102125 121.513878
新奇岩社會住宅,3.79 3.79.56,新奇岩,,taipei,25.123288 121.5033
培英社會住宅,3.79 3.79.56,培英,,taipei,25.079791 121.548565
錦州社會住宅,3.79 3.79.56,錦州,,taipei,25.059469 121.52685
廣慈博愛園區(A、B、C基地),3.79 3.79.56,廣慈,(A|B|C),taipei,25.038829 121.581992
廣慈博愛園區社會住宅(D基地),3.79 3.79.56,廣慈,D,taipei,25.038829 121.581992
廣慈博愛園區社會住宅(E基地),3.79 3.79.56,廣慈,E,taipei,25.038829 121.581992
三興社會住宅,3.79 3.79.56,三興,,taipei,25.026283 121.555947
犁和段都更案基地,3.79 3.79.56,犁和,,taipei,25.02356 121.555259
六張犁A、B區社會住宅,3.79 3.79.56,六張犁,(A|B),taipei,25.027468 121.558708;25.027417 121.5598
萬華青年社會住宅二期,3.79 3.79.56,萬華,二,taipei,25.020253 121.502914
莒光社會住宅,3.79 3.79.56,莒光,,taipei,25.031869 121.500136
福星社會住宅,3.79 3.79.56,福星,福星[^段],taipei,25.046994 121.50645
明倫社會住宅,3.79 3.79.56,明倫,,taipei,25.073219 121.519902
南港機廠社會住宅,3.79 3.79.56,南港,,taipei,25.050723 121.598563
中南社會住宅,3.79 3.79.56,中南,,taipei,25.042822 121.61899
小彎社會住宅,3.79 3.79.56,小彎,,taipei,25.057637 121.593524
百齡水岸社會住宅,3.79 3.79.56,百齡,,taipei,25.080441 121.514151
景豐一區社會住宅,3.79 3.79.56,景豐,一,taipei,25.002189 121.545371
玉成社會住宅,3.79 3.79.56,玉成,,taipei,25.04816 121.583066
經貿社會住宅,3.79 3.79.56,經貿,,taipei,25.056306 121.610608
東湖段一小段(東湖A),3.79 3.79.56,東湖,A,taipei,25.069891 121.61929
東湖段一小段(東湖B),3.79 3.79.56,東湖,B,taipei,25.069953 121.620004
延吉段一小段,3.79 3.79.56,延吉,,taipei,25.046311 121.556819
福民平宅改建,3.79 3.79.56,福民,,taipei,25.027581 121.490623;25.02787 121.491122
華江段二小段(華江A),3.79 3.79.56,華江,A,taipei,25.03353 121.490228
華江段二小段(華江B),3.79 3.79.56,華江,B,taipei,25.033335 121.490638
延平北路教育局宿舍,3.79 3.79.56,延平,,taipei,25.0621903 121.512726
金華社會住宅(特四、五),3.79 3.79.56,金華,,taipei,25.030652 121.525687;25.030767 121.524193
景豐二區社會住宅,3.79 3.79.56,景豐,二,taipei,25.002038 121.544888
興隆H區社會住宅,3.79 3.79.56,興隆,H,taipei,24.988015 121.558758
六張犁D、E區社會住宅,3.79 3.79.56,六張犁,(D|E),taipei,25.025583 121.558246;25.025559 121.559733
福星段都更案基地,3.79 3.79.56,福星段,,taipei,25.044333 121.502536
南海段都更案基地,3.79 3.79.56,南海,,taipei,25.03091 121.514298
浮洲合宜住宅出租單元,3.82.11.1 3.82.28 ,浮洲,,new_taipei,24.996875 121.444538
板橋府中青年社會住宅,3.82.11.1 3.82.28,府中,,new_taipei,25.010209 121.459326
新莊新豐青年社會住宅,3.82.11.1 3.82.28,新豐,,new_taipei,24.999777 121.431616
中和秀峰青年社會住宅,3.82.11.1 3.82.28,秀峰,,new_taipei,24.99072 121.518434
大安青年社會住宅 (三重1館),3.82.11.1 3.82.28,大安,,new_taipei,25.055329 121.496624
大同南青年社會住宅 (三重2館-西側),3.82.11.1 3.82.28,大同,,new_taipei,25.057709 121.498004
大同南青年社會住宅 (三重3館-東側),3.82.11.1 3.82.28,大同,,new_taipei,25.057808 121.498547
新店央北青年社會住宅,3.82.11.1 3.82.28,央北,,new_taipei,24.981552 121.526111
永和秀朗青年社會住宅,3.82.11.1 3.82.28,秀朗,,new_taipei,25.0038221 121.5211885
