pid,uid,title,regex,county
洲美社會住宅,3.79 3.79.56,洲美,,taipei
興隆D2區社會住宅,3.79 3.79.56,興隆,D,taipei
新興社會住宅(新興市場整建),3.79 3.79.56,新興,,taipei
健康社會住宅,3.79 3.79.56,健康,,taipei
萬華青年社會住宅一期,3.79 3.79.56,萬華,一,taipei
捷運新莊線大橋頭站分回,3.79 3.79.56,大橋頭,,taipei
東明社會住宅,3.79 3.79.56,東明,,taipei
華榮市場都更案,3.79 3.79.56,華榮,,taipei
瑞光社會住宅,3.79 3.79.56,瑞光,,taipei
舊宗社會住宅,3.79 3.79.56,舊宗,,taipei
行善社會住宅,3.79 3.79.56,行善,,taipei
木柵社會住宅,3.79 3.79.56,木柵,,taipei
樟新水岸社會住宅,3.79 3.79.56,漳新,,taipei
和興水岸社會住宅 (華興段基地),3.79 3.79.56,和興,,taipei
興隆A區社會住宅,3.79 3.79.56,興隆,A,taipei
興隆E區社會住宅,3.79 3.79.56,興隆,E,taipei
興隆I區社會住宅,3.79 3.79.56,興隆,I,taipei
福國社會住宅,3.79 3.79.56,福國,,taipei
新奇岩社會住宅,3.79 3.79.56,新奇岩,,taipei
培英社會住宅,3.79 3.79.56,培英,,taipei
錦州社會住宅,3.79 3.79.56,錦州,,taipei
廣慈博愛園區(A、B、C基地),3.79 3.79.56,廣慈,(A|B|C),taipei
廣慈博愛園區社會住宅(D基地),3.79 3.79.56,廣慈,D,taipei
廣慈博愛園區社會住宅(E基地),3.79 3.79.56,廣慈,E,taipei
三興社會住宅,3.79 3.79.56,三興,,taipei
犁和段都更案基地,3.79 3.79.56,犁和,,taipei
六張犁A、B區社會住宅,3.79 3.79.56,六張犁,(A|B),taipei
萬華青年社會住宅二期,3.79 3.79.56,萬華,二,taipei
莒光社會住宅,3.79 3.79.56,莒光,,taipei
福星社會住宅,3.79 3.79.56,福星,福星[^段],taipei
明倫社會住宅,3.79 3.79.56,明倫,,taipei
南港機廠社會住宅,3.79 3.79.56,南港,,taipei
中南社會住宅,3.79 3.79.56,中南,,taipei
小彎社會住宅,3.79 3.79.56,小彎,,taipei
百齡水岸社會住宅,3.79 3.79.56,百齡,,taipei
景豐一區社會住宅,3.79 3.79.56,景豐,一,taipei
玉成社會住宅,3.79 3.79.56,玉成,,taipei
經貿社會住宅,3.79 3.79.56,經貿,,taipei
東湖段一小段(東湖A),3.79 3.79.56,東湖,A,taipei
東湖段一小段(東湖B),3.79 3.79.56,東湖,B,taipei
延吉段一小段,3.79 3.79.56,延吉,,taipei
