興隆D2區社會住宅	3.79 3.79.56	興隆	D	24.987977, 121.562478
洲美社會住宅	3.79 3.79.56	洲美		
新興社會住宅(新興市場整建)	3.79 3.79.56	新興		
健康社會住宅	3.79 3.79.56	健康		
萬華青年社會住宅一期	3.79 3.79.56	萬華	一	
捷運新莊線大橋頭站分回	3.79 3.79.56	大橋頭		
東明社會住宅	3.79 3.79.56	東明		
華榮市場都更案	3.79 3.79.56	華榮		
瑞光社會住宅	3.79 3.79.56	瑞光		
舊宗社會住宅	3.79 3.79.56	舊宗		25.062160, 121.578154
行善社會住宅	3.79 3.79.56	行善		
木柵社會住宅	3.79 3.79.56	木柵		
樟新水岸社會住宅	3.79 3.79.56	漳新		
和興水岸社會住宅 (華興段基地)	3.79 3.79.56	和興		
興隆A區社會住宅	3.79 3.79.56	興隆	A	
興隆E區社會住宅	3.79 3.79.56	興隆	E	
興隆I區社會住宅	3.79 3.79.56	興隆	I	
福國社會住宅	3.79 3.79.56	福國		
新奇岩社會住宅	3.79 3.79.56	新奇岩		
培英社會住宅	3.79 3.79.56	培英		
錦州社會住宅	3.79 3.79.56	錦州		
廣慈博愛園區(A、B、C基地)	3.79 3.79.56	廣慈	(A|B|C)	
廣慈博愛園區社會住宅(D基地)	3.79 3.79.56	廣慈	D	
廣慈博愛園區社會住宅(E基地)	3.79 3.79.56	廣慈	E	
三興社會住宅	3.79 3.79.56	三興		
犁和段都更案基地	3.79 3.79.56	犁和		
六張犁A、B區社會住宅	3.79 3.79.56	六張犁	(A|B)	
萬華青年社會住宅二期	3.79 3.79.56	萬華	二	
莒光社會住宅	3.79 3.79.56	莒光		
福星社會住宅	3.79 3.79.56	福星	福星[^段]	
明倫社會住宅	3.79 3.79.56	明倫		
南港機廠社會住宅	3.79 3.79.56	南港		
中南社會住宅	3.79 3.79.56	中南		
小彎社會住宅	3.79 3.79.56	小彎		
百齡水岸社會住宅	3.79 3.79.56	百齡		
景豐一區社會住宅	3.79 3.79.56	景豐	一	
玉成社會住宅	3.79 3.79.56	玉成		
經貿社會住宅	3.79 3.79.56	經貿		
東湖段一小段(東湖A)	3.79 3.79.56	東湖	A	
東湖段一小段(東湖B)	3.79 3.79.56	東湖	B	
延吉段一小段	3.79 3.79.56	延吉		
福民平宅改建	3.79 3.79.56	福民		
華江段二小段(華江A)	3.79 3.79.56	華江	A	
華江段二小段(華江B)	3.79 3.79.56	華江	B	
延平北路教育局宿舍	3.79 3.79.56	延平		
金華社會住宅(特四、五)	3.79 3.79.56	金華		
景豐二區社會住宅	3.79 3.79.56	景豐	二	
興隆H區社會住宅	3.79 3.79.56	興隆	H	
六張犁D、E區社會住宅	3.79 3.79.56	六張犁	(D|E)	
福星段都更案基地	3.79 3.79.56	福星段		
南海段都更案基地	3.79 3.79.56	南海		
浮洲合宜住宅出租單元	3.82.11.1 3.82.28 	浮洲		
板橋府中青年社會住宅	3.82.11.1 3.82.28	府中		
新莊新豐青年社會住宅	3.82.11.1 3.82.28	新豐		
中和秀峰青年社會住宅	3.82.11.1 3.82.28	秀峰		
大安青年社會住宅 (三重1館)	3.82.11.1 3.82.28	大安		
大同南青年社會住宅 (三重2館-西側)	3.82.11.1 3.82.28	大同		
大同南青年社會住宅 (三重3館-東側)	3.82.11.1 3.82.28	大同		
新店央北青年社會住宅	3.82.11.1 3.82.28	央北		
永和秀朗青年社會住宅	3.82.11.1 3.82.28	秀朗		
三峽國光一期青年社會住宅	3.82.11.1 3.82.28	國光	一	
三峽北大青年社會住宅	3.82.11.1 3.82.28	北大		
林口世大運選手村社會住宅	3.82.11.1 3.82.28	世大運		
板橋永翠(39)	3.82.11.1 3.82.28	永翠		
板橋江翠(31)	3.82.11.1 3.82.28	江翠		
三重五谷王(27)青年社會住宅	3.82.11.1 3.82.28	五谷王		
新店斯馨(2)青年社會住宅	3.82.11.1 3.82.28	斯馨		
新店斯馨(13、15)青年社會住宅	3.82.11.1 3.82.28	斯馨		
新店斯馨(100)青年社會住宅	3.82.11.1 3.82.28	斯馨		
土城員和段青年社會住宅	3.82.11.1 3.82.28	員和		
土城明德(211、218)	3.82.11.1 3.82.28	明德		
土城明德(23)	3.82.11.1 3.82.28	明德		
永和中正橋青年社會住宅	3.82.11.1 3.82.28	中正橋		
五股芳洲(203)青年社會住宅	3.82.11.1 3.82.28	芳洲		
中和安邦段青年社會住宅	3.82.11.1 3.82.28	安邦		
中和保二基地警消專案社宅	3.82.11.1 3.82.28	保二		
新店民安段青年社會住宅	3.82.11.1 3.82.28	民安		
土城永和段青年社會住宅	3.82.11.1 3.82.28	永和段		
土城大安段青年社會住宅	3.82.11.1 3.82.28	大安段		
三峽國光二期青年社會住宅	3.82.11.1 3.82.28	國光	二	
泰山中山段青年社會住宅	3.82.11.1 3.82.28	中山段		
板橋江翠(96)青年社會住宅	3.82.11.1 3.82.28	江翠	96	
江翠段65地號	3.82.11.1 3.82.28	江翠段	65	
江翠段151地號	3.82.11.1 3.82.28	江翠段	151	
新都段83地號	3.82.11.1 3.82.28	新都段	83	
環翠段108地號	3.82.11.1 3.82.28	環翠段	108	
五谷王段297地號	3.82.11.1 3.82.28	五谷王段	297	
富貴段324、331地號	3.82.11.1 3.82.28	富貴段	324,331	
中路二號社會住宅	3.80.36.1 3.80.11	中路	二	24.999298, 121.297293 
機場捷運A7合宜住宅出租單元	3.80.36.1 3.80.11	機場	A7	25.040387, 121.388028;25.040045, 121.388028;25.041875, 121.388465;25.039760, 121.391670
中路一號社會住宅	3.80.36.1 3.80.11	中路	一	25.007839, 121.287970
中路三號社會住宅	3.80.36.1 3.80.11	中路	三	25.007371, 121.285707
中路四號社會住宅	3.80.36.1 3.80.11	中路	四	25.007828, 121.286726
東門段208-1地號都  市更新事業(東門停  車場)	3.80.36.1 3.80.11	東門段		
中壢一號社會住宅	3.80.36.1 3.80.11	中壢	一	24.935936, 121.255024
中壢老小段100地號  都市更新事業(中興  巷警察宿舍)	3.80.36.1 3.80.11	中壢	老	
平鎮一號社會住宅	3.80.36.1 3.80.11	平鎮	一	24.910388, 121.207877
八德一號社會住宅	3.80.36.1 3.80.11	八德	一	24.926526, 121.280608
八德二號社會住宅	3.80.36.1 3.80.11	八德	二	24.927419, 121.288963
八德三號社會住宅	3.80.36.1 3.80.11	八德	三	24.925441, 121.284021
楊梅一號社會住宅- 第一期	3.80.36.1 3.80.11	楊梅	一	24.913444, 121.185336
蘆竹一號社會住宅	3.80.36.1 3.80.11	蘆竹	一	25.021275, 121.256068
蘆竹二號社會住宅	3.80.36.1 3.80.11	蘆竹	二	25.024970, 121.257254
航空城安置住宅- A11	3.80.36.1 3.80.11	航空城	11	
航空城安置住宅- A18	3.80.36.1 3.80.11	航空城	18	
航空城安置住宅- G17	3.80.36.1 3.80.11	航空城	17	
中壢區雙嶺段1283、1284地號	3.80.36.1 3.80.11	雙嶺		
大溪區仁武段13、14地號	3.80.36.1 3.80.11	仁武		
南富台新村	3.80.36.1 3.80.11	南富台		
北富台新村	3.80.36.1 3.80.11	北富台		
慈安社會住宅(平寮段)	3.80.36.1 3.80.11	慈安		
龍慈社會住宅(福德段)	3.80.36.1 3.80.11	龍慈		
龍岡體育園區	3.80.36.1 3.80.11	龍岡		
捷運A20站-第一期	3.80.36.1 3.80.11	捷運	20,一	
捷運A20站-第二期	3.80.36.1 3.80.11	捷運	20,二	
捷運A21站	3.80.36.1 3.80.11	捷運	21	
中壢區內壢段	3.80.36.1 3.80.11	內壢		
楊梅一號社會住宅- 第二期	3.80.36.1 3.80.11	楊梅	一,二	
捷運A10站-第一期	3.80.36.1 3.80.11	捷運	10,一	
捷運A10站-第二期	3.80.36.1 3.80.11	捷運	10,二	
蘆竹區大興段	3.80.36.1 3.80.11	大興		
龜山區善捷段	3.80.36.1 3.80.11	善捷		
龜山區樂捷段	3.80.36.1 3.80.11	樂捷		
龜山中興段	3.80.36.1 3.80.11	中興段		
大溪區田心子段	3.80.36.1 3.80.11	田心子		
光正段一期	3.87.36 3.87.36.1	光正	一	
精密機械科技創新園區「勞工住宅」社區	3.87.36 3.87.36.1	精密機械		
安康段一期	3.87.36 3.87.36.1	安康	一	
北屯段	3.87.36 3.87.36.1	北屯		
同榮段	3.87.36 3.87.36.1	同榮		
育賢段一期	3.87.36 3.87.36.1	育賢	一	
育賢段二期	3.87.36 3.87.36.1	育賢	二	
南屯區建功段26地號	3.87.36 3.87.36.1	建功	26	
南屯區建功段4-1地號	3.87.36 3.87.36.1	建功	4,1	
安康段二期	3.87.36 3.87.36.1	安康	二	
尚武段	3.87.36 3.87.36.1	尚武		
