ronny_field,ocds_path
"機關資料:機關代碼","buyer/id"
"機關資料:聯絡電話","parties[0]/contactPoint/telephone"
"機關資料:機關名稱","buyer/name"
"機關資料:單位名稱","parties[0]/additionalIdentifiers[0]/legalName"
"機關資料:機關地址","parties[0]/address/streetAddress"
"機關資料:聯絡人","parties[0]/contactPoint/name"
"機關資料:傳真號碼","parties[0]/contactPoint/faxNumber"

"已公告資料:決標方式","tender/awardCriteria"
"已公告資料:標案案號","tender/id"
"已公告資料:標案名稱","tender/title"
"採購級距","tender.additionalProperties.priceRange"
"採購金額級距","tender.additionalProperties.priceRange"
"歸屬計畫類別","tender.additionalProperties.belongToProjects[]"
"辦理方式","tender.additionalProperties.operationMethod"
"新增公告傳輸次數","tender.additionalProperties.newAnnouncementIndex"
"招標文件是否包括使用建築資訊建模BIM(BuildingInformationModeling)之技術","tender.additionalProperties.useBuildingInformationModeling"
"標的分類","tender.additionalProperties.category"
